user_Num,category,stayTime
235,artwork-creative-h-and-m,9
235,artwork-dark,6
235,evil-omen,8
235,artwork-dark,14
236,person,3
236,model-and-actor,32
236,person,65
236,body,87
236,bj,19
236,model-and-actor,26
238,model-and-actor,25
240,body,99
241,withyou,79
242,body,3
242,body,3
243,person,33
243,body,73
243,model-and-actor,33
243,kids,19
244,dog,13
245,kids,5
246,body,19
246,body,8
246,artwork-dark,6
246,person,5
247,group,8
247,musician,2
247,musician,18
248,body,13
249,person,42
255,lookbook,2
256,seminude,26
257,body,8
258,artwork-creative-h-and-m,42
259,product,27
261,lookbook,26
262,person,7
264,body,32
265,musician,48
266,body,5
267,body,9
268,seminude,51
269,dog,42
270,body,62
270,seminude,19
270,evil-omen,33
270,group,15
271,body,5
271,seminude,32
272,body,649
273,body,3296
274,video-fashion,14
274,video-fashion,2
275,model-and-actor,13
276,artwork-dark,25
278,person,32
279,body,13
280,withyou,6
281,artwork-creative-h-and-m,13
282,video-excercise,26
282,video-fashion,19
282,video-entertainment,14
282,food,8
283,person,14
283,zoo,19
284,group,99
284,kids,14
284,person,26
284,kids,13
284,seminude,42
284,4050,25
285,artwork-dark,13
286,body,6
286,body,74
286,seminude,19
286,model-and-actor,13
286,seminude,2
287,body,32
288,bj,5
289,ceo,2
291,dog,50
292,wedding,5
292,video-wedding,86
292,ceo,5
293,body,13
293,ceo,18
293,product,19
294,wedding,5
295,food,9
298,model-and-actor,9
302,cat,9
303,kids,5
303,event,8
304,group,42
304,body,33
304,4050,18
304,model-and-actor,73
304,group,33
304,seminude,14
305,dog,87
307,dog,16
308,artwork-dark,162
308,wedding,8
308,video-excercise,2
308,video-club,3
308,video-fashion,2
308,video-music,3
308,video-club,2
308,video-excercise,2
308,video-entertainment,13
308,video-sketch,2
309,ceo,13
309,wedding,3
309,ceo,41
310,dog,26
311,withyou,5
312,model-and-actor,18
313,withyou,146
314,product,26
315,product,42
316,video-wedding,32
316,video-fashion,42
316,video-sketch,13
317,dog,19
317,dog,9
317,dog,19
317,withyou,18
321,body,2
322,body,18
323,body,51
327,ceo,51
327,person,2
329,model-and-actor,2
330,bj,13
330,group,208
330,product,3
330,model-and-actor,51
330,ceo,85
331,body,9
332,body,18
333,seminude,3
333,seminude,13
333,ceo,18
337,lookbook,41
337,ceo,14
337,seminude,8
337,person,13
337,bj,13
337,person,5
337,group,6
337,location,2
337,seminude,3
337,body,6
337,couple,6
337,kids,2
337,4050,8
337,artwork-creative-h-and-m,14
337,artwork-creative-h-and-m,13
337,musician,26
339,dog,19
340,wedding,13
344,body,1
345,musician,3
345,kids,2
345,location,33
345,seminude,6
345,wedding,1
345,video-music,2
345,wedding,14
346,body,42
347,model-and-actor,3
348,dog,2
349,seminude,10
349,body,42
349,artwork-dark,13
349,person,13
349,body,18
351,model-and-actor,19
351,ceo,6
351,person,19
352,lookbook,18
354,kids,2
357,person,62
357,landscape,51
357,landscape,5
357,lookbook,32
357,uniform,6
357,product,3
357,fashionshow,25
357,street,72
358,video-wedding,41
358,video-sketch,314
358,video-fashion,5
358,video-music,6
358,video-excercise,3
358,video-club,5
358,video-sketch,19
358,video-excercise,6
358,video-wedding,5
358,video-entertainment,5
361,dog,8
362,couple,6
363,product,33
363,wedding,5
363,video-excercise,32
363,video-fashion,32
364,zoo,1
364,zoo,26
364,zoo,18
364,landscape,19
364,zoo,6
364,club,5
365,product,9
366,video-club,9
366,video-sketch,32
366,video-entertainment,41
366,video-fashion,14
366,video-excercise,8
369,withyou,3
369,dog,2
370,video-music,128
370,video-music,8
372,body,5
373,body,9
374,person,8
375,body,13
376,body,51
379,withyou,28
379,dog,6
379,withyou,14
379,dog,35
380,artwork-dark,19
380,evil-omen,19
380,portrait-strong,13
380,good-omen,2
380,artwork-creative-h-and-m,13
382,person,13
382,product,6
383,body,18
384,body,32
384,body,2
384,artwork-dark,9
385,body,86
386,location,19
387,ceo,18
388,body,26
389,body,5
390,person,6
391,body,8
392,dog,32
392,food,8
392,portrait-strong,26
392,body,62
393,lookbook,21
395,artwork-creative-h-and-m,2
395,artwork-creative-h-and-m,2
395,club,14
395,person,50
395,model-and-actor,13
396,animalcompany,2
396,dog,8
396,animalcompany,42
397,body,25
401,lookbook,85
401,seminude,23
401,body,13
402,lookbook,19
402,person,6
405,person,8
406,person,26
406,model-and-actor,26
406,body,26
406,dog,19
406,model-and-actor,5
406,person,19
406,musician,26
407,model-and-actor,85
407,model-and-actor,33
407,person,32
409,dog,25
412,body,9
414,body,2
414,body,44
415,street,51
415,body,26
415,landscape,26
415,lookbook,62
415,food,52
415,uniform,26
415,product,8
416,dog,98
418,body,9
419,body,33
420,lookbook,13
421,body,4
423,body,18
424,dog,51
424,dog,265
425,lookbook,51
426,lookbook,11
430,video-fashion,32
434,body,2
434,body,62
434,body,32
434,kids,8
434,seminude,26
436,model-and-actor,6
437,body,51
438,dog,3
439,dog,9
442,seminude,9
443,body,5
444,evil-omen,10
444,artwork-dark,2
444,wedding,13
446,seminude,51
446,body,99
446,person,72
448,body,32
448,seminude,52
448,person,62
450,person,32
450,body,63
450,4050,6
451,dog,2
454,ceo,26
454,4050,6
454,kids,5
454,wedding,9
454,evil-omen,8
454,person,25
454,ceo,19
455,body,26
458,bj,8
458,model-and-actor,9
458,seminude,113
458,lookbook,18
458,body,32
458,seminude,2
460,lookbook,9
461,model-and-actor,33
461,model-and-actor,2
462,model-and-actor,35
463,body,13
464,body,19
464,body,33
464,person,8
465,person,61
465,dog,62
466,withyou,32
466,dog,5
467,person,13
467,panorama,41
467,video-club,6
467,group,26
467,cat,26
468,panorama,6
468,panorama,8
470,dog,8
471,animalcompany,14
471,dog,18
474,body,41
476,person,33
477,model-and-actor,41
479,dog,18
479,dog,3
479,withyou,19
480,dog,2
480,dog,26
480,withyou,19
481,dog,9
482,panorama,51
483,body,33
484,artwork-creative-h-and-m,8
484,wedding,6
484,person,9
484,musician,25
484,evil-omen,2
484,artwork-dark,2
485,dog,9
485,dog,2
486,model-and-actor,6
487,panorama,51
487,tour,6
487,lookbook,129
488,dog,85
489,dog,25
490,withyou,86
490,dog,61
490,withyou,32
490,person,33
490,dog,19
491,dog,25
492,dog,9
493,artwork-dark,25
493,artwork-dark,14
494,dog,19
496,body,3
496,dog,6
496,animalcompany,50
496,dog,25
496,body,19
496,person,18
497,dog,15
498,dog,74
499,dog,5
500,dog,32
500,dog,33
501,person,19
501,dog,19
501,withyou,14
502,dog,26
504,dog,182
505,dog,19
506,dog,18
507,dog,18
508,dog,32
509,dog,6
510,dog,113
511,dog,9
512,dog,42
514,dog,19
514,dog,5
514,animalcompany,14
515,dog,19
516,model-and-actor,13
516,model-and-actor,3
516,ceo,33
517,dog,1
518,dog,16
520,lookbook,5
521,person,9
522,body,33
523,dog,22
524,ceo,113
527,kids,14
528,body,9
528,model-and-actor,25
531,good-omen,14
531,panorama,19
531,portrait-strong,5
531,artwork-creative-h-and-m,4
531,artwork-dark,6
531,artwork-dark,9
531,artwork-creative-h-and-m,9
531,evil-omen,8
531,portrait-strong,9
532,kids,2
532,seminude,32
532,body,25
532,kids,14
532,4050,9
532,ceo,8
532,4050,1
533,bj,5
533,model-and-actor,18
533,person,2
533,person,19
534,body,33
534,seminude,14
534,dog,19
535,body,62
537,body,18
538,kids,2
540,location,10
540,body,2
540,lookbook,19
540,model-and-actor,19
540,seminude,13
540,body,33
540,bj,9
541,musician,33
541,model-and-actor,63
541,model-and-actor,14
541,bj,18
541,body,32
541,video-fashion,9
541,model-and-actor,19
541,person,50
543,body,146
544,video-sketch,33
544,video-fashion,8
544,product,18
544,video-entertainment,32
544,artwork-dark,5
544,person,18
544,bj,25
545,kids,4
545,kids,2
546,body,99
547,model-and-actor,5
547,body,33
547,seminude,9
547,body,8
548,body,9
548,body,2
549,body,8
551,body,14
553,dog,26
553,dog,6
554,dog,1
554,dog,313
554,dog,33
554,withyou,129
554,animalcompany,25
554,zoo,14
555,artwork-creative-h-and-m,3
556,ceo,9
557,seminude,222
557,body,513
557,person,18
559,dog,14
561,lookbook,33
563,dog,2
565,video-wedding,9
567,musician,41
567,kids,14
567,ceo,14
567,4050,14
567,seminude,19
567,person,19
568,dog,8
569,dog,26
569,group,33
570,seminude,99
570,body,114
571,body,27
574,person,13
575,model-and-actor,9
575,body,7
576,uniform,2
577,body,18
577,body,62
577,seminude,14
578,body,2
578,body,86
579,cat,26
579,dog,2
580,ceo,6
583,uniform,2
584,seminude,9
584,body,33
586,lookbook,14
586,animalcompany,13
587,withyou,41
587,product,99
588,withyou,14
588,person,14
588,dog,26
589,model-and-actor,6
590,zoo,8
591,dog,32
591,model-and-actor,42
591,dog,32
591,product,50
591,withyou,393
592,person,14
592,lookbook,5
593,animalcompany,9
593,dog,19
593,dog,3
593,withyou,2
594,body,19
598,uniform,9
600,body,41
600,body,19
600,seminude,51
601,model-and-actor,13
602,body,3
603,wedding,42
603,lookbook,2
603,uniform,26
603,landscape,9
603,uniform,19
603,seminude,18
603,uniform,14
603,musician,19
603,lookbook,117
603,model-and-actor,33
603,wedding,7
604,lookbook,8
605,dog,50
608,withyou,32
608,dog,3
608,cat,26
609,body,32
610,person,51
612,body,62
612,model-and-actor,43
613,lookbook,3
614,model-and-actor,33
614,body,26
614,person,52
614,model-and-actor,9
615,model-and-actor,33
615,body,28
616,uniform,51
617,kids,98
618,seminude,26
618,body,42
619,group,8
619,body,19
619,seminude,9
620,seminude,9
620,body,25
622,body,13
622,body,19
622,seminude,6
622,body,9
622,person,18
623,video-club,25
624,model-and-actor,14
624,body,61
625,model-and-actor,5
625,musician,19
626,body,13
627,person,61
627,body,61
628,model-and-actor,18
628,person,33
628,person,41
629,body,13
629,product,2
629,panorama,4
629,lookbook,6
629,product,5
629,seminude,5
630,4050,8
630,person,32
630,body,6
630,person,13
630,seminude,5
630,4050,5
630,model-and-actor,19
632,body,8
632,body,72
633,lookbook,5
634,dog,29
637,bj,9
637,ceo,26
637,4050,14
637,model-and-actor,19
637,seminude,18
638,body,2
638,body,26
638,person,2
641,body,13
642,body,26
642,person,19
642,body,50
643,musician,13
643,model-and-actor,25
644,dog,13
644,model-and-actor,25
644,body,25
644,musician,25
644,model-and-actor,19
645,body,3
646,body,5
648,product,86
649,body,33
650,lookbook,41
650,video-fashion,9
652,dog,19
652,dog,2
652,animalcompany,19
654,cat,33
654,dog,9
657,body,42
658,cat,32
658,dog,8
659,body,41
660,artwork-creative-h-and-m,18
660,body,9
660,seminude,6
660,lookbook,18
661,artwork-creative-h-and-m,8
661,artwork-creative-h-and-m,8
664,musician,6
665,seminude,14
665,body,18
666,seminude,9
667,model-and-actor,32
669,body,25
670,model-and-actor,26
671,dog,19
672,body,19
674,dog,18
675,body,33
676,ceo,13
677,product,6
677,lookbook,33
678,seminude,19
678,body,14
678,person,6
679,body,34
679,person,73
679,model-and-actor,26
679,person,33
679,group,61
679,person,33
679,person,32
680,body,18
681,seminude,8
681,body,25
682,model-and-actor,3
682,model-and-actor,33
682,seminude,25
683,dog,9
684,artwork-dark,8
684,dog,13
684,uniform,9
685,dog,8
687,seminude,9
688,model-and-actor,8
689,body,27
690,seminude,19
690,body,30
691,body,13
691,body,6
691,seminude,9
692,withyou,25
692,dog,2
692,cat,20
692,animalcompany,9
693,kids,42
695,ceo,13
696,model-and-actor,8
697,uniform,2
698,dog,33
699,lookbook,13
700,body,51
701,body,8
702,body,25
703,body,2
704,body,8
705,body,13
705,person,14
705,seminude,5
705,body,13
705,bj,13
705,model-and-actor,19
706,dog,2
709,person,50
710,person,5
713,dog,5
714,video-club,857
714,video-fashion,72
714,video-sketch,41
714,video-entertainment,114
715,body,62
715,seminude,19
716,seminude,32
716,seminude,19
716,body,5
717,dog,114
718,seminude,13
718,body,25
718,body,3
721,lookbook,18
721,product,34
721,model-and-actor,19
722,bj,18
722,body,26
722,4050,99
722,person,5
722,body,62
722,group,33
722,person,42
722,couple,6
723,body,5
724,fashionshow,42
724,model-and-actor,73
724,street,8
725,dog,33
726,seminude,41
726,person,64
726,body,8
726,model-and-actor,18
726,person,1
726,model-and-actor,21
726,body,5
726,seminude,9
726,person,39
726,body,5
727,body,19
728,person,14
728,dog,42
728,animalcompany,9
728,dog,18
729,video-fashion,26
731,person,26
731,body,18
731,body,14
731,model-and-actor,18
731,seminude,9
731,body,14
731,lookbook,13
732,model-and-actor,14
732,body,5
734,model-and-actor,5
738,dog,14
739,withyou,8
739,dog,9
740,dog,32
744,couple,7
744,dog,2
744,withyou,35
747,body,25
747,body,6
747,uniform,8
747,lookbook,6
747,seminude,13
747,model-and-actor,9
748,model-and-actor,2
748,bj,13
748,seminude,14
748,seminude,13
748,bj,9
748,model-and-actor,18
748,person,13
748,model-and-actor,6
748,seminude,28
748,bj,3
749,dog,36
749,dog,19
750,lookbook,5
751,dog,3
755,person,33
755,model-and-actor,32
755,bj,19
755,model-and-actor,8
757,evil-omen,13
757,lookbook,72
757,video-fashion,32
757,body,5
757,seminude,13
757,animalcompany,8
757,good-omen,2
757,portrait-strong,25
757,good-omen,13
757,video-sketch,73
757,video-music,25
757,video-excercise,2
757,video-club,62
757,artwork-dark,5
757,artwork-creative-h-and-m,2
758,body,6
759,dog,86
759,dog,42
759,withyou,14
761,dog,2
761,person,8
761,artwork-dark,5
761,body,8
761,seminude,8
761,model-and-actor,19
762,landscape,2
765,dog,41
766,dog,26
767,body,13
768,model-and-actor,9
769,body,3
770,dog,50
771,dog,51
772,dog,5
772,dog,3
772,animalcompany,19
772,wedding,8
776,product,9
776,lookbook,6
776,artwork-dark,2
776,evil-omen,5
776,panorama,26
777,video-excercise,2
778,video-excercise,2
779,person,6
779,lookbook,25
779,seminude,25
779,artwork-creative-h-and-m,13
779,evil-omen,13
779,person,26
779,body,51
779,4050,9
779,model-and-actor,26
779,bj,19
779,location,9
779,group,51
781,model-and-actor,13
783,ceo,13
784,ceo,9
784,dog,8
784,wedding,9
784,first-birthday,2
784,couple,1
784,tour,3
784,kids,8
784,cat,6
785,kids,8
785,seminude,13
785,seminude,9
785,location,18
785,seminude,2
786,body,8
788,kids,32
789,video-excercise,51
790,body,86
790,person,9
791,musician,10
791,seminude,14
791,lookbook,33
791,ceo,18
791,body,51
791,artwork-dark,8
791,artwork-creative-h-and-m,6
791,good-omen,14
791,product,19
792,body,44
792,seminude,6
794,person,14
795,model-and-actor,33
796,video-wedding,113
796,lookbook,98
796,video-sketch,8
796,video-entertainment,61
796,person,61
796,bj,50
796,wedding,26
796,couple,5
796,tour,2
796,first-birthday,6
796,video-sketch,61
796,video-club,8
799,ceo,8
799,body,86
799,bj,18
799,musician,32
799,seminude,13
799,person,8
799,body,42
799,person,62
799,model-and-actor,18
800,model-and-actor,19
803,ceo,2
803,body,26
803,seminude,14
803,model-and-actor,14
803,ceo,8
803,bj,8
804,cat,8
804,dog,43
805,body,2
805,body,18
805,seminude,2
806,body,26
807,model-and-actor,5
808,body,62
809,body,51
810,model-and-actor,6
812,body,42
813,animalcompany,14
813,dog,32
813,person,2
813,product,8
813,zoo,14
813,food,5
813,street,18
813,food,5
813,dog,2
814,model-and-actor,42
814,model-and-actor,34
814,person,41
816,ceo,9
816,person,18
816,location,13
818,good-omen,19
818,artwork-dark,14
818,artwork-creative-h-and-m,8
818,evil-omen,8
818,portrait-strong,13
822,musician,13
822,model-and-actor,5
822,ceo,13
822,person,25
822,model-and-actor,8
822,musician,42
822,ceo,3
822,body,18
823,ceo,314
823,uniform,52
823,lookbook,79
823,product,36
823,kids,13
824,lookbook,32
824,ceo,10
825,body,6
826,bj,43
826,body,34
826,person,50
826,body,42
826,model-and-actor,13
826,musician,33
826,body,14
826,seminude,33
827,uniform,132
827,lookbook,47
827,uniform,33
836,body,0
838,bj,0
842,person,0
843,street,0
846,model-and-actor,0
851,body,0
852,lookbook,0
854,model-and-actor,0
855,body,0
