user_Name,category,stayTime
X2fv6sEx7GWt47NLeqMU6AAAAAA,dog,41
X2fvv-eZLpQUX81x6VdHAAAAAAI,model-and-actor,19
X08749bX3pGpllTnHS2HggAAAAM,body,8
X08749bX3pGpllTnHS2HggAAAAM,seminude,9
X2d0bHz9i7Q0giRwb5m56wAAAAE,body,40
X2d0bHz9i7Q0giRwb5m56wAAAAE,body,51
X2d0bHz9i7Q0giRwb5m56wAAAAE,bj,18
X2bgXZZCYNmnGrulxuBSwwAAAAE,withyou,19
X2bgXZZCYNmnGrulxuBSwwAAAAE,dog,9
X2bgXZZCYNmnGrulxuBSwwAAAAE,dog,25
X2bgXZZCYNmnGrulxuBSwwAAAAE,person,72
X1ofqr77vHD8@vSRIagMPQAAAAI,body,129
X2aZJVl6gCYyuBWTLJk4UQAAAAA,seminude,33
X2aZJVl6gCYyuBWTLJk4UQAAAAA,body,13
X2ZRu5pyyUGC1GfPA@e2vQAAAAE,dog,8
X2ZRu5pyyUGC1GfPA@e2vQAAAAE,dog,14
X2ZRu5pyyUGC1GfPA@e2vQAAAAE,dog,19
X2ZRu5pyyUGC1GfPA@e2vQAAAAE,person,32
X2ZRdahiffhuXzH5gVfT2QAAAAI,dog,19
X2ZBHMzJRP1OCTT51bjQ8wAAAAQ,model-and-actor,86
X2ZBHMzJRP1OCTT51bjQ8wAAAAQ,person,41
X2Y4YtZHsobO0hdKa@6lJAAAAAU,dog,18
X2Ykf-Jz68Q3SLcWU7CeHwAAAAQ,dog,5
X2Ykf-Jz68Q3SLcWU7CeHwAAAAQ,dog,17
X2Ykf-Jz68Q3SLcWU7CeHwAAAAQ,animalcompany,34
X2Ya9b-eOBBy6hSuhy1OGwAAAAQ,person,41
X2Ya9b-eOBBy6hSuhy1OGwAAAAQ,body,2
X2Xvc1jOofFsyXXNreODbgAAAAA,body,18
X2Xu6DSI2b@e-TM0WE75ggAAAAQ,body,2
X2Xu6DSI2b@e-TM0WE75ggAAAAQ,body,25
X2XshoDHZvKuQQloJO5itQAAAAM,artwork-dark,14
X2XshoDHZvKuQQloJO5itQAAAAM,wedding,41
X2XshoDHZvKuQQloJO5itQAAAAM,person,52
X2W6c1zA-CzLzQWwZJFFhwAAAAE,video-excercise,9
X2W6c1zA-CzLzQWwZJFFhwAAAAE,video-fashion,25
X2VeCTNvCDOvDZhcbiDHTgAAAAA,event,13
X2VeCTNvCDOvDZhcbiDHTgAAAAA,artwork-dark,19
X2VeCTNvCDOvDZhcbiDHTgAAAAA,artwork-creative-h-and-m,9
X2VeCTNvCDOvDZhcbiDHTgAAAAA,artwork-dark,6
X2VeCTNvCDOvDZhcbiDHTgAAAAA,evil-omen,8
X2VeCTNvCDOvDZhcbiDHTgAAAAA,artwork-dark,14
X1cm0PF9JIeup9H6Y5NUlAAAAAA,person,3
X1cm0PF9JIeup9H6Y5NUlAAAAAA,model-and-actor,32
X1cm0PF9JIeup9H6Y5NUlAAAAAA,person,65
X1cm0PF9JIeup9H6Y5NUlAAAAAA,body,87
X1cm0PF9JIeup9H6Y5NUlAAAAAA,bj,19
X1cm0PF9JIeup9H6Y5NUlAAAAAA,model-and-actor,26
X2WBwETRtEoU-E1r2aa0bgAAAAI,model-and-actor,25
X2U9P1gUk45QkXSBQ6xYmgAAAAE,body,99
X2TcQ2an4GqjBwcw8-tatwAAAAU,withyou,79
X2TL0jsHZ6mbkmwwPCEengAAAAA,body,3
X2TL0jsHZ6mbkmwwPCEengAAAAA,body,3
X08749bX3pGpllTnHS2HggAAAAM,person,33
X08749bX3pGpllTnHS2HggAAAAM,body,73
X08749bX3pGpllTnHS2HggAAAAM,model-and-actor,33
X08749bX3pGpllTnHS2HggAAAAM,kids,19
X2TI3eq5QpGmZ4LbRgpZ2gAAAAE,dog,13
X2TF00mGjbEnP7LNnJQVLAAAAAU,kids,5
X2SytiRzNHySHXQr4ZMNzAAAAAA,body,19
X2SytiRzNHySHXQr4ZMNzAAAAAA,body,8
X2SytiRzNHySHXQr4ZMNzAAAAAA,artwork-dark,6
X2SytiRzNHySHXQr4ZMNzAAAAAA,person,5
X2Sx2BhW1ug8r0-rV-8OMAAAAAE,group,8
X2Sx2BhW1ug8r0-rV-8OMAAAAAE,musician,2
X2Sx2BhW1ug8r0-rV-8OMAAAAAE,musician,18
X2Si5d4hkj5JfKW16Hm6qAAAAAM,body,13
X2SaBnGmEC4gRd1sKyCrOQAAAAI,person,42
X2SFuEBH9nI9li-9bU2YPwAAAAI,lookbook,2
X2Np0ut-dxP-27TsU9aaAgAAAAE,seminude,26
X2R7ETov8OOnro6nrQsdcQAAAAE,body,8
X2RB4vmDFrvGE@t96lZSEgAAAAM,artwork-creative-h-and-m,42
X2Qnp13MDp36@JAD4ywfEgAAAAI,product,27
X2O4Jopss7TRZwoN0zkvOgAAAAE,lookbook,26
X2OM5K7swtlpAvnzpOZDbwAAAAQ,person,7
X1oq2TUxRKLOA5Jk9hkpUQAAAAU,body,32
X2N5S0hhhDZnKe0tzyM8yQAAAAM,musician,48
X2Np0ut-dxP-27TsU9aaAgAAAAE,body,5
X2NiqjMv@m4q5-9N21kRxwAAAAE,body,9
X08749bX3pGpllTnHS2HggAAAAM,seminude,51
X2NSqP7MaFyMZggcrk9MjQAAAAI,dog,42
X2M9y1sRbljF0o8I5FWDlwAAAAE,body,62
X2M9y1sRbljF0o8I5FWDlwAAAAE,seminude,19
X2M9y1sRbljF0o8I5FWDlwAAAAE,evil-omen,33
X2M9y1sRbljF0o8I5FWDlwAAAAE,group,15
X1oq2TUxRKLOA5Jk9hkpUQAAAAU,body,5
X1oq2TUxRKLOA5Jk9hkpUQAAAAU,seminude,32
X2M-ayQUlJiXf9DqJxNs5QAAAAA,body,649
X2M9y1sRbljF0o8I5FWDlwAAAAE,body,3296
X2M15yy6YzGdrRCkiujZ-QAAAAE,video-fashion,14
X2M15yy6YzGdrRCkiujZ-QAAAAE,video-fashion,2
X2MwbnGZu1K6fi7Fg56YGgAAAAA,model-and-actor,13
X2Gpk@amli8Ur81JA0TakQAAAAM,artwork-dark,25
X1BksyvK-vpe58M@w2s77wAAAAI,person,32
X2Mbkc@JWOkKm4aIBpZvlwAAAAE,body,13
X2MZSP@VQILxz8RArNnn4gAAAAM,withyou,6
X2MWMGvhgkHKx9e4WPGGZwAAAAQ,artwork-creative-h-and-m,13
X168E5utsL55Jxx0wCHMBAAAAAQ,video-excercise,26
X168E5utsL55Jxx0wCHMBAAAAAQ,video-fashion,19
X168E5utsL55Jxx0wCHMBAAAAAQ,video-entertainment,14
X168E5utsL55Jxx0wCHMBAAAAAQ,food,8
X2MHJ4mlKZFmJH6WUjs7swAAAAM,person,14
X2MHJ4mlKZFmJH6WUjs7swAAAAM,zoo,19
X2L515epLfkd5eJ1TjHlIwAAAAE,group,99
X2L515epLfkd5eJ1TjHlIwAAAAE,kids,14
X2L515epLfkd5eJ1TjHlIwAAAAE,person,26
X2L515epLfkd5eJ1TjHlIwAAAAE,kids,13
X2L515epLfkd5eJ1TjHlIwAAAAE,seminude,42
X2L515epLfkd5eJ1TjHlIwAAAAE,4050,25
X2Lw6R-YFhV3FJJsuj-bXwAAAAE,artwork-dark,13
X2LvNNPg1CCpC0zXT3ZMXwAAAAE,body,6
X2LvNNPg1CCpC0zXT3ZMXwAAAAE,body,74
X2LvNNPg1CCpC0zXT3ZMXwAAAAE,seminude,19
X2LvNNPg1CCpC0zXT3ZMXwAAAAE,model-and-actor,13
X2LvNNPg1CCpC0zXT3ZMXwAAAAE,seminude,2
X2LuW3Znwr1KnXKow6YBuAAAAAA,body,32
X2Lrt0mx@ZR2AqVktZg3CgAAAAA,bj,5
X2LqvfOvKeJNPLgdPTbpLgAAAAE,ceo,2
X2Leu2EkzP0Rwh9BdGdUmAAAAAI,dog,50
X2LVUAvMf41FIUfb5uvNWgAAAAA,wedding,5
X2LVUAvMf41FIUfb5uvNWgAAAAA,video-wedding,86
X2LVUAvMf41FIUfb5uvNWgAAAAA,ceo,5
X2LA1v@hoqws-mjqicS8zgAAAAI,body,13
X2LA1v@hoqws-mjqicS8zgAAAAI,ceo,18
X2LA1v@hoqws-mjqicS8zgAAAAI,product,19
X2KvDE9KWSSC0q7V-tOlLQAAAAA,wedding,5
X2CBr4iVni81vDuIJblMsAAAAAE,food,9
