user_Num,category,stayTime
190,artwork-creative-h-and-m,2
190,artwork-creative-h-and-m,2
190,club,14
190,person,50
190,contact,13
190,contact,5
190,model-and-actor,13
191,animalcompany,2
191,dog,8
191,animalcompany,42
191,contact,73
192,body,25
193,retouching-process,62
194,profile-1/helltographer/followers,1
196,lookbook,85
196,seminude,23
196,body,13
197,lookbook,19
197,person,6
200,person,8
201,person,26
201,model-and-actor,26
201,apply-event,13
201,body,26
201,dog,19
201,model-and-actor,5
201,person,19
201,music,3
201,model,19
201,grapher,26
201,musician,26
202,model-and-actor,85
202,model-and-actor,33
202,person,32
204,contact,32
204,dog,25
207,body,9
209,body,2
209,body,44
209,print-copy,6
210,street,51
210,body,26
210,landscape,26
210,lookbook,62
210,food,52
210,uniform,26
210,product,8
211,dog,98
212,news,731
212,map,8
212,map,2
212,news,3
212,map,26
212,guide-body,86
213,body,9
214,body,33
215,lookbook,13
216,body,4
218,body,18
219,dog,51
219,dog,265
219,grapher,3
220,lookbook,51
221,lookbook,11
222,grapher,2
224,contact,13
224,lesson-photo,86
225,video-fashion,32
226,grapher,1
228,model-works,19
229,body,2
229,body,62
229,kids,8
229,body,32
229,seminude,26
230,lesson-photo,3
231,model-and-actor,6
232,body,51
233,dog,3
234,dog,9
235,lesson-photo,8
236,grapher,32
236,about-studio,42
237,seminude,9
238,body,5
239,evil-omen,10
239,contact,33
239,lesson-photo,51
239,artwork-dark,2
239,wedding,13
239,review-board,50
239,contact,20
239,contact,163
240,review-board,51
240,news,42
241,seminude,51
241,body,99
241,person,72
242,reservation-process,18
243,contact,42
243,grapher,42
243,review-board,76
243,body,32
243,seminude,52
243,contact,6
243,person,62
243,grapher,2
244,after-finish,14
245,person,32
245,body,63
245,4050,6
246,dog,2
247,after-finish,13
248,grapher,9
249,review-board,41
249,ceo,26
249,about-studio,42
249,4050,6
249,kids,5
249,wedding,9
249,evil-omen,8
249,person,25
249,contact,33
249,grapher,33
249,ceo,19
250,body,26
251,grapher,8
252,grapher,13
253,bj,8
253,model-and-actor,9
253,seminude,113
253,lookbook,18
253,body,32
253,seminude,2
255,lookbook,9
256,model-and-actor,33
256,model-and-actor,2
256,contact,29
257,model-and-actor,35
257,grapher,20
258,body,13
259,body,19
259,body,33
259,person,8
260,person,61
260,dog,62
261,withyou,32
261,dog,5
262,person,13
262,panorama,41
262,model,86
262,video-club,6
262,contact,14
262,grapher,32
262,about-studio,61
262,group,26
262,cat,26
263,panorama,6
263,panorama,8
265,dog,8
266,animalcompany,14
266,dog,18
267,reservation-process,2
267,reservation-process,114
268,map,314
269,body,41
271,contact,14
271,model,14
271,person,33
271,contact,2
271,contact,2
271,grapher,33
272,model-and-actor,41
273,grapher,51
274,dog,18
274,dog,3
274,withyou,19
275,dog,2
275,dog,26
275,withyou,19
276,dog,9
277,panorama,51
278,about-studio,9
278,body,33
279,artwork-creative-h-and-m,8
279,wedding,6
279,person,9
279,musician,25
279,evil-omen,2
279,artwork-dark,2
280,dog,9
280,dog,2
281,model-and-actor,6
282,panorama,51
282,tour,6
282,lookbook,129
283,dog,85
284,dog,25
285,withyou,86
285,dog,61
285,withyou,32
285,person,33
285,dog,19
286,dog,25
287,dog,9
288,artwork-dark,25
288,map,19
288,artwork-dark,14
289,dog,19
290,map,5
291,body,3
291,dog,6
291,animalcompany,50
291,dog,25
291,body,19
291,person,18
292,dog,15
293,dog,74
294,dog,5
295,dog,32
295,dog,33
296,person,19
296,dog,19
296,withyou,14
297,dog,26
298,news,128
299,dog,182
300,dog,19
301,dog,18
302,dog,18
303,dog,32
304,dog,6
305,dog,113
306,dog,9
307,dog,42
308,grapher,33
309,dog,19
309,dog,5
309,animalcompany,14
310,dog,19
311,contact,5
311,model-and-actor,13
311,model-and-actor,3
311,ceo,33
312,dog,1
313,dog,16
314,grapher,3
315,model,9
315,lookbook,5
316,person,9
317,body,33
318,about-studio,18
318,dog,22
319,ceo,113
320,map,139
322,kids,14
323,body,9
323,model-and-actor,25
324,reservation-process,19
325,map,2
326,good-omen,14
326,lesson-photo,339
326,panorama,19
326,portrait-strong,5
326,artwork-creative-h-and-m,4
326,artwork-dark,6
326,lesson-photo,3
326,artwork-dark,9
326,artwork-creative-h-and-m,9
326,evil-omen,8
326,portrait-strong,9
327,kids,2
327,seminude,32
327,body,25
327,kids,14
327,4050,9
327,ceo,8
327,4050,1
328,person,2
328,model-and-actor,18
328,person,19
328,bj,5
329,body,33
329,seminude,14
329,dog,19
330,body,62
331,map,8
332,body,18
333,kids,2
335,location,10
335,body,2
335,lookbook,19
335,model-and-actor,19
335,seminude,13
335,body,33
335,bj,9
336,musician,33
336,model-and-actor,63
336,model-and-actor,14
336,bj,18
336,body,32
336,video-fashion,9
336,model-and-actor,19
336,person,50
337,grapher,13
338,body,146
339,video-sketch,33
339,video-fashion,8
339,product,18
